coef_name,mean_est_acml,mean_est_mi,emp_sd_acml,emp_sd_mi,mean_se_acml,mean_se_mi,median_est_acml,median_est_mi,median_se_acml,median_se_mi,true_acml,true_mi,bias_acml,bias_mi,rel_bias_acml,rel_bias_mi,rmse_acml,rmse_mi,rel_bias_se_acml,rel_bias_se_mi
beta1,75.00038364,75.01285197,0.636404941,0.334751938,0.61844505,0.338894554,75.01264361,75.00550509,0.617531315,0.335079463,75,75,0.000383642,0.012851968,0.00%,0.02%,0.636245936,0.33491492,-2.82%,1.24%
beta2,-0.972855096,-0.96747402,0.595421351,0.589295294,0.59669013,0.58454675,-0.98140466,-0.962535731,0.593926885,0.579970978,-1,-1,0.027144904,0.03252598,-2.71%,-3.25%,0.595891071,0.590045124,0.21%,-0.81%
beta3,-0.502657316,-0.499705538,0.066915912,0.05331924,0.067348782,0.05156365,-0.501076304,-0.501257184,0.067186363,0.051467788,-0.5,-0.5,-0.002657316,0.000294462,0.53%,-0.06%,0.066951936,0.053306721,0.65%,-3.29%
beta4,-1.996058363,-2.010543586,0.657655503,0.432559832,0.672589232,0.422983777,-1.997514309,-2.002678484,0.669118276,0.420537268,-2,-2,0.003941637,-0.010543586,-0.20%,0.53%,0.657502883,0.432580191,2.27%,-2.21%
beta5,-0.253610177,-0.245587295,0.060881347,0.05377485,0.060449257,0.053839853,-0.253063406,-0.245425202,0.060238865,0.053737566,-0.25,-0.25,-0.003610177,0.004412705,1.44%,-1.77%,0.060973097,0.053942197,-0.71%,0.12%
beta6,2.187649026,2.191507647,0.051088779,0.025586216,0.049022483,0.025363457,2.187511396,2.192004838,0.048975532,0.025047934,2.197224577,2.197224577,-0.009575551,-0.00571693,-0.44%,-0.26%,0.051965849,0.026210883,-4.04%,-0.87%
beta7,0.219435836,0.220118889,0.048332692,0.033391216,0.0493545,0.03354369,0.220562071,0.219729503,0.04922375,0.033495974,0.223143551,0.223143551,-0.003707716,-0.003024663,-1.66%,-1.36%,0.048462648,0.033519612,2.11%,0.46%
beta8,0.000558317,0.000229151,0.113561767,0.085381048,0.11181067,0.084122172,-0.001294357,-0.001323022,0.11154933,0.083859664,0,0,0.000558317,0.000229151,NA,NA,0.113534746,0.085360008,-1.54%,-1.47%
beta9,1.252646407,1.252912457,0.023145888,0.01122166,0.022872384,0.011180349,1.25293713,1.252913677,0.022869469,0.011180349,1.252762968,1.252762968,-0.000116561,0.000149489,-0.01%,0.01%,0.023140394,0.01121985,-1.18%,-0.37%
,,,,,,,,,,,,,,,,,,,,